L4 | Sun Mar 24 15:07:32 2024 (882 ms) | general | New game starting up
L4 | Sun Mar 24 15:07:32 2024 (882 ms) | general | Target game image size:  1280x720

L4 | Sun Mar 24 15:07:32 2024 (882 ms) | general | Ideal window dimensions:  1280x720

L4 | Sun Mar 24 15:07:32 2024 (882 ms) | general | Trying to start in fullscreen mode.
L4 | Sun Mar 24 15:07:32 2024 (883 ms) | general | The following frame rates are considered possible:
L4 | Sun Mar 24 15:07:32 2024 (883 ms) | general | 30 fps
L4 | Sun Mar 24 15:07:32 2024 (883 ms) | general | 60 fps
L4 | Sun Mar 24 15:07:32 2024 (883 ms) | general | 100 fps
L4 | Sun Mar 24 15:07:32 2024 (883 ms) | general | 120 fps
L4 | Sun Mar 24 15:07:32 2024 (883 ms) | general | 144 fps
L4 | Sun Mar 24 15:07:32 2024 (886 ms) | general | Constructing ScreenGL with requested 1920x1080, 60 fps, fullscreen(1)
L4 | Sun Mar 24 15:07:32 2024 (887 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Sun Mar 24 15:07:32 2024 (887 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Sun Mar 24 15:07:32 2024 (887 ms) | general | Checking if requested video mode (1920x1080) is available
L4 | Sun Mar 24 15:07:32 2024 (887 ms) | general | Available video modes:
L5 | Sun Mar 24 15:07:32 2024 (887 ms) | general |    1920 x 1080

L4 | Sun Mar 24 15:07:32 2024 (887 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Sun Mar 24 15:07:32 2024 (887 ms) | general |    ^^^^ this mode matches requested mode
L5 | Sun Mar 24 15:07:32 2024 (887 ms) | general |    1680 x 1050

L5 | Sun Mar 24 15:07:32 2024 (887 ms) | general |    1366 x 768

L4 | Sun Mar 24 15:07:32 2024 (887 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sun Mar 24 15:07:32 2024 (887 ms) | general |    1360 x 768

L4 | Sun Mar 24 15:07:32 2024 (887 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sun Mar 24 15:07:32 2024 (888 ms) | general |    1280 x 1024

L5 | Sun Mar 24 15:07:32 2024 (888 ms) | general |    1280 x 800

L5 | Sun Mar 24 15:07:32 2024 (888 ms) | general |    1280 x 768

L5 | Sun Mar 24 15:07:32 2024 (888 ms) | general |    1280 x 720

L4 | Sun Mar 24 15:07:32 2024 (888 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sun Mar 24 15:07:32 2024 (888 ms) | general |    1024 x 768

L5 | Sun Mar 24 15:07:32 2024 (888 ms) | general |    800 x 600

L5 | Sun Mar 24 15:07:32 2024 (888 ms) | general |    640 x 480

L4 | Sun Mar 24 15:07:33 2024 (67 ms) | general | ScreenGL gave us 1920x1080, 60 fps
L4 | Sun Mar 24 15:07:33 2024 (68 ms) | general | Setting non-integer-scaled screen image size of 1920x1080
L4 | Sun Mar 24 15:07:33 2024 (196 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=1024 (requested 1024)

L4 | Sun Mar 24 15:07:33 2024 (196 ms) | general | setViewSize called with 1920.000000
L4 | Sun Mar 24 15:07:33 2024 (196 ms) | general | setLetterbox called with 1920.000000x1080.000000
L4 | Sun Mar 24 15:07:33 2024 (323 ms) | general | setViewSize called with 1920.000000
L4 | Sun Mar 24 15:07:33 2024 (323 ms) | general | setLetterbox called with 1920.000000x1080.000000
L4 | Sun Mar 24 15:07:33 2024 (477 ms) | general | setViewSize called with 1920.000000
L4 | Sun Mar 24 15:07:33 2024 (477 ms) | general | setLetterbox called with 1920.000000x1080.000000
L4 | Sun Mar 24 15:07:35 2024 (86 ms) | general | Measured frame rate = 59.999998 fps

L4 | Sun Mar 24 15:07:35 2024 (86 ms) | general | Closest possible frame rate = 60 fps

L4 | Sun Mar 24 15:07:35 2024 (86 ms) | general | Vsync seems to be enforcing an allowed frame rate of 60 fps.

L4 | Sun Mar 24 15:07:35 2024 (98 ms) | general | Recording game into file recordedGames\recordedGame000001.txt
L4 | Sun Mar 24 15:07:35 2024 (99 ms) | general | Only keeping 20 past recordings
L4 | Sun Mar 24 15:07:35 2024 (99 ms) | general | Removed 0 stale recordings
L4 | Sun Mar 24 15:07:35 2024 (194 ms) | general | OneLife client v364 (binV=364, dataV=0) starting up
L4 | Sun Mar 24 15:07:35 2024 (194 ms) | general | setViewSize called with 1920.000000
L4 | Sun Mar 24 15:07:35 2024 (194 ms) | general | setLetterbox called with 1920.000000x1080.000000
